nama_kue,deskripsi,sejarah_kue,cara_pembuatan,daerah_kue,gambar,link_sumber
Kue pelangi,Kue pelangi (bahasa Inggris: rainbow cake) adalah kue spons berlapis dengan perpaduan tujuh warna pelangi yang dilapisi krim mentega atau krim keju. Kue ini berawal dari seorang mahasiswi bernama Kaitlin Flannery yang berniat untuk memberikan hadiah ulang tahun kepada sahabatnya yang menyukai pelangi dan lemon. Ia ingin membuat kue yang ketika dipotong akan memberikan nuansa pelangi dengan aroma citrus.,"Kue Pelangi menjadi sangat populer setelah ramai diperbincangkan di media sosial. Salah satu acara televisi Amerika The Martha Stewart Show memperbincangkan hal tentang kue pelangi dan mengundang Kaitlin Flanerry, sang penulis blog whisk-kids sekaligus penulis resep kue pelangi pada bulan April 2010. Selain menceritakan tentang blog dan kuenya, mahasiswi ini juga mendemonstrasikan cara pembuatan kue pelangi di depan masyarakat Amerika Serikat.","Adonan tepung beras, santan, dan gula dibagi menjadi beberapa bagian dan diberi pewarna berbeda. Setiap lapisan dikukus bergantian hingga matang. Kue ini kenyal, manis, dan harum santan.",Jawa dan Betawi,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Rainbow_cookies.jpg/500px-Rainbow_cookies.jpg,https://id.wikipedia.org/wiki/Kue_pelangi
Kue pepe,"Kue pepe adalah Kue lapis khas betawi, terutama di Kepulauan Seribu. Kue lapis ini terbuat dari sagu yang diadonin dengan santan dan gula pasir. Terkadang adonan tersebut dipisah-pisah menjadi beberapa tempat dimana masing-masing adonan diberi warna yang berbeda-beda. Jenis kue ini dimasak dengan cara dikukus.","Kue Pepe atau lapis pepe merupakan kue tradisional yang berasal dari budaya Sunda. Kue ini biasanya dihidangkan pada acara keluarga dan hajatan. Namanya pepe berasal dari suara lembut yang muncul saat lapisan dikupas dari daun atau loyang. Kue ini menggambarkan kelembutan dan kesabaran, karena proses membuatnya membutuhkan ketelitian.","Tepung beras, tepung sagu, santan, dan gula dicampur, lalu diberi pewarna alami. Adonan dikukus lapis demi lapis hingga membentuk warna bergradasi. Teksturnya kenyal dan lembut.",Jawa Barat,https://drive.google.com/uc?export=view&id=1APFSO8nuO8ByegrMlq7aV81VPwkMAd3N,https://id.wikipedia.org/wiki/Kue_pepe
Kue putri kandis,"Kue putri kandis merupakan kue basah tradisional khas Jambi. Kombinasi warna kue putri kandis umumnya berwarna hijau, cokelat, dan kuning dengan bentuk berlapis-lapis. Kue ini menggunakan banyak telur dan gula. Kue putri kandis biasanya disajikan saat perayaan adat Jambi, salah satunya acara antar belanjo. Antar belanjo merupakan bagian dari prosesi pernikahan. Sebelum akad nikah, keluarga calon pengantin pria membawa antaran belanja kepada calon pengantin wanita, salah satunya kue putri kandis. Makna dari acara ini adalah rasa kekeluargaan yang terbangun dari kedua belah pihak.","Kue Putri Kandis berasal dari tradisi kuliner Palembang yang terkenal dengan kue manis berbahan dasar telur dan santan. Kue ini dinamai putri kandis karena warna kuning keemasan dan tampilannya yang cantik seperti perhiasan. Dalam budaya lokal, kue ini melambangkan keanggunan dan kemakmuran.","Bahan I: Kuning telur Garam dan gula pasir Susu kental manis Vanili Margarin, dikocok hingga lembut Tepung terigu Santan Cokelat bubuk Bahan II: Telur Gula pasir Air daun suji Susu kental manis Tepung terigu Margarin, dikocok hingga lembut SantanBuat terlebih dahulu adonan dari bahan I. Kocok kuning telur dan gula hingga lembut lalu tambahkan susu kental manis sambil terus dikocok rata. Masukan tepung terigu, santan, dan margarin secara bergantian sambil diaduk rata. Bagi adonan menjadi dua bagian. Satu bagian ditambahkan cokelat bubuk dan sisanya dibiarkan putih. Buat adonan dari bahan II. Kocok putih telur sampai setengah mengembang lalu tambahkan gula sambil dikocok hingga mengembang. Masukan air daun suji, susu kental manis, tepung terigu, dan margarin sambil dikocok rata. Siapkan loyang persegi yang telah dialasi dengan kertas roti dan diolesi margarin. Panggang adonan masing-masing 200 gram selapis bergantian hingga kecokelatan dengan api atas. Setelah adonan habis, panggang lagi dengan api kecil selama setengah jam dan suhu 160 derajat celcius Angkat dan dinginkan lalu dipotong-potong. Sajikan.",Jambi,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Kue_Ptri_Knds.jpg/500px-Kue_Ptri_Knds.jpg,https://id.wikipedia.org/wiki/Kue_putri_kandis
Kue Sanole,Kue Sanole atau yang biasa dikenal dengan nama karu-karu adalah jajanan khas Maluku yang memiliki bentuk seperti dadar gulung. Kue ini memiliki tekstur kenyal. Terbuat dari tepung sagu yang dicampur dengan parutan kelapa dan bagian tengahnya diisi gula merah.,Kue Sanole adalah kue tradisional khas masyarakat Maluku Utara yang sering disajikan pada pesta adat dan acara keagamaan. Kue ini mencerminkan perpaduan budaya pesisir dan hasil bumi setempat seperti sagu dan kelapa. Sanole merupakan simbol kebersamaan karena proses pembuatannya dilakukan bersama-sama oleh keluarga besar.,"Tepung sagu, gula merah, dan santan dicampur, lalu dibungkus daun pisang dan dikukus hingga matang. Kue ini legit dan kenyal dengan rasa manis alami dari gula aren.",Maluku,https://drive.google.com/uc?export=view&id=13iYyjr_2paUl9TMuY5OZUNupZe5QbxvJ,https://id.wikipedia.org/wiki/Kue_Sanole
Kue Srikaya,"Kue srikaya merupakan kudapan khas Kota Palembang yang memiliki warna hijau dengan aroma khas daun pandan serta tekstur yang lembut dan legit. Kue ini dibuat dari campuran telur, gula pasir, santan, dan sari pandan tanpa menggunakan tepung. Sering disajikan sebagai takjil atau hidangan berbuka puasa. Kue ini memiliki cita rasa manis, tekstur lembut, dan umumnya dikonsumsi bersama ketan yang disajikan secara terpisah. Kue srikaya biasanya dikonsumsi dengan ketan atau roti tawar, tetapi dapat juga dimakan langsung. Pada bulan ramadhan, kue ini sering dijual di pasar tradisional dan pasar bedug di Palembang. Secara tradisional, kue srikaya dibuat menggunakan santan glundu, tetapi dapat juga menggunakan santan kemasan dengan tambahan air. Warna hijau pada kue ini dapat berasal dari sari pandan asli atau pasta pandan buatan. Dalam tradisi Palembang, kue srikaya sering disajikan sebagai hidangan penutup dalam prosesi ngidang yaitu tata cara penyajian makanan pada acara sedekahan dan pernikahan.","Kue Srikaya sudah dikenal sejak masa Kesultanan Palembang dan sering dihidangkan sebagai makanan penutup bangsawan. Nama srikaya menggambarkan rasa dan aromanya yang kaya dan manis. Kini, kue ini banyak ditemukan di Sumatera dan Kalimantan sebagai hidangan khas berbuka puasa.","Campuran telur, santan, gula, dan daun pandan dikocok hingga rata lalu dikukus dalam wadah. Teksturnya lembut seperti puding dengan aroma pandan yang kuat.",Kota Palembang,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Kue_Srikaya_Khas_Palembang.jpg/500px-Kue_Srikaya_Khas_Palembang.jpg,https://id.wikipedia.org/wiki/Kue_Srikaya
Kue talam,"Kue talam adalah salah satu jenis camilan tradisional yang dapat ditemukan di berbagai daerah di Indonesia. Kue talam memiliki rasa manis dan gurih. Rasa gurih kue talam berasal dari santan yang menjadi salah satu bahan utamanya. Pada bulan puasa, kue talam menjadi salah satu menu berbuka puasa. Salah satu hal yang membuat kue talam begitu diminati adalah teksturnya yang lentur, lembut dan sedikit kenyal. Kue tradisional ini termasuk dalam kategori kue basah, sehingga tidak akan bertahan lama saat dihidangkan. Kue ini juga termasuk dalam salah satu hidangan penutup manis atau pencuci mulut yang biasanya disajikan setelah hidangan utama dalam sebuah jamuan makan.","Meski saat ini kue talam telah menyebar ke seluruh Indonesia, tetapi kue talam merupakan kue tradisional khas Betawi dan diperkirakan sudah berumur lebih dari 500 tahun. Kue ini mendapat pengaruh dari kuliner Tionghoa dan Belanda yang mendiami kawasan Batavia (kini disebut Jakarta). Hal ini dikarenakan kue talam memiliki kata kue di depannya yang berasal dari kata pengaruh bahasa Hokkien koe yang berarti kue tradisional peranakan Tionghoa. Sementara itu, kata talam didapatkan karena pada zaman dahulu kue ini diletakkan di loyang bulat tak berkaki yang dikenal dengan nama talam. Teksturnya yang lentur dan lengket memiliki filosofi mengenai hubungan antar manusia yang penuh kekentalan dan kekerabatan. Rasanya yang manis dan legit juga menggambarkan perpaduan dari kisah hidup manusia. Saat zaman kolonial, kue talam hanya disajikan kepada kalangan Bangsawan sebagai hidangan pembuka. Hal ini dikarenakan kue talam merupakan perwujudan kepada tamu mengenai hormatnya sang tuan rumah kepada tamu yang ia anggap kerabat.","Bahan dasar untuk membuat kue talam adalah tepung dari berbagai macam jenis. Tepung termasuk dalam kategori karbohidrat sederhana yang memiliki nilai indeks glikemik yang tinggi. Kue talam dibuat berlapis sebanyak 5 lapisan. Bahan baku kue ini adalah tepung beras, tepung tapioka, tepung maizena, gula merah, santan, garam, dan daun pandan (sebagai aroma). Tepung beras, tapioka, dan gula merah dibuat menjadi adonan dan direbus. Selanjutnya adonan tersebut dibagi dan disusun sehingga membentuk empat lapisan. Kemudian, tepung maizena dan santan direbus dan dituangkan pada lapisan paling atas (menjadi lapisan kelima). Sebagai pelengkap tiap adonan, diberikan garam dan daun pandan.",Betawi,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Kue_Talam_3.jpg/500px-Kue_Talam_3.jpg,https://id.wikipedia.org/wiki/Kue_talam
Kue tampah,"Kue tampah (kadang juga disebut kue nampan) adalah kumpulan kue atau kudapan yang disusun cantik di atas tampah. Kue-kue yang digunakan biasanya adalah kue basah atau jajanan tradisional, dapat berupa jajanan manis atau gurih. Ukuran kuenya pun umumnya lebih kecil daripada ukuran biasanya sehingga mudah dihabiskan dalam satu atau dua gigitan. Ukuran kue yang kecil-kecil juga membuat kue tampah dapat memuat lebih banyak jajanan dalam satu hidangan. Kue tampah biasanya digunakan untuk hantaran pernikahan, arisan, dan acara penting lainnya. Selain tampah, nampan atau wadah lainnya juga dapat digunakan sebagai tempat untuk menyusun kue.","Kue Tampah merupakan kue tradisional Banjar yang sering disajikan pada acara selamatan dan pernikahan. Nama tampah diambil dari wadah bambu tempat kue ini biasanya ditata dan disajikan. Dalam tradisi Banjar, kue ini menjadi simbol rasa syukur dan kebersamaan.","Bahan terdiri dari tepung ketan, kelapa parut, dan gula merah. Adonan dikukus dalam daun pisang hingga matang, lalu disajikan di atas tampah bambu. Rasanya manis gurih dan harum.",Kalimantan Selatan,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Jajan_Pasar_in_Jakarta_edit.JPG/500px-Jajan_Pasar_in_Jakarta_edit.JPG,https://id.wikipedia.org/wiki/Kue_tampah
Laklak,"Laklak adalah sebuah makanan yang berasal dari Bali. Makanan tersebut terbuat dari tepung beras, air panas, santan panas, air daun suji, baking powder, garam, kelapa parut, serta saus gula merah yang terbuat dari gula merah, gula pasir dan air mineral.",Laklak adalah kue tradisional Bali yang sudah ada sejak zaman kerajaan. Kue ini sering disajikan pada upacara keagamaan di pura atau acara adat Bali. Bentuknya bulat pipih dan berwarna hijau alami dari daun suji. Laklak melambangkan kesucian dan keharmonisan hidup.,"Adonan tepung beras dicampur santan dan air daun suji, lalu dituangkan ke cetakan tanah liat kecil. Setelah matang, kue disajikan dengan parutan kelapa dan sirup gula merah.",Bali,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Laklak_Top_View.jpg/500px-Laklak_Top_View.jpg,https://id.wikipedia.org/wiki/Laklak
Lambang sari,"Lambang sari adalah kue yang terbuat dari bahan sagu, tepung beras yang diadonin dengan air santan kelapa. Adonan tersebut diisi dengan pisang lalu dibungkus dengan dengan daun pisang dan dikukus. Hampir mirip dengan masyarakat lain di pulau jawa misalnya, kue ini hampir selalu ada pada setiap acara hajatan. Kue tersebut adalah panganan khas Kepulauan Seribu.",Kue Lambang Sari merupakan kue khas Minangkabau yang sering disajikan pada pesta adat. Namanya berasal dari kata lambang yang berarti lambang keindahan dan sari yang berarti inti. Kue ini dipercaya melambangkan kehormatan dan ketulusan dalam menjamu tamu.,"Adonan dibuat dari tepung ketan, telur, santan, dan gula. Setelah dikocok rata, adonan dipanggang hingga matang. Teksturnya lembut dan rasanya manis gurih.",Sumatera Barat,https://drive.google.com/uc?export=view&id=1QMrRk9CBHy3yvaEXFLFSLgH3NE77X_C8,https://id.wikipedia.org/wiki/Lambang_sari
Lampam,"Lampam adalah salah satu kue kering tradisional dari Kabupaten Lingga, Provinsi Kepulauan Riau, yang berbahan dasar tepung sagu. Kue ini tersedia dalam dua varian, yaitu tanpa isian dan yang berisi selai nanas, dan lazim disajikan bersama minuman seperti kopi atau teh. Lampam mencerminkan kearifan lokal masyarakat dalam memanfaatkan bahan pangan yang tersedia di lingkungan serta melestarikan kebiasaan kuliner secara turun-temurun.",Lampam merupakan makanan khas Banjar yang terbuat dari sagu dan kelapa. Kue ini sudah dikenal sejak masa kerajaan Banjar dan menjadi makanan pokok di beberapa daerah pesisir. Lampam mencerminkan kreativitas masyarakat Banjar dalam mengolah bahan sederhana menjadi sajian lezat.,"Lampam sebagai hasil olahan sagu berkembang karena tersedianya bahan pangan sagu, yang masih terus diproduksi dan dikonsumsi secara lokal. Tanaman sagu telah dibudidayakan sejak masa Kerajaan Riau-Lingga, dan hingga kini masih tersebar luas di berbagai wilayah Kabupaten Lingga. Luas sebaran lahan sagu mencapai sekitar 2.700 hektar dan tersebar di 12 desa. Produksi tahunan dapat mencapai kira-kira 7.898 ton, membuat sagu menjadi salah satu komoditas utama yang berkontribusi terhadap perekonomi lokal masyarakat. Bahan-bahan santan, gula kelapa, perwarna dan daun pandan dimasak hingga mengental, kemudian didinginkan. Setelah dingin, campurkan dengan bahan dasar tepung gula dan soda kue serta tambahan gula pasir bila perlu, aduk hingga benar-benar menyatu, lalu dicetak bulat-bulat dan dipanggang dalam oven hingga matang. Sebagai alternatif tepung sagu dapat pula menggunakan tepung terigu. Lampam dapat sering kali dibuat dalam dua varian, yang tanpa isian dan yang berisi selai nanas. Cara memakannya biasanya dicelupkan sedikit ke dalam atau dimakan bersama dengan kopi atau teh. Lampam dibuat dengan teknik tradisional yang diturunkan dari generasi ke generasi. Proses ini menjaga keaslian rasa dan tekstur khas dari tepung sagu. Kue ini tergolong kue kering, namun karena tidak menggunakan bahan pengawet, masa simpannya terbatas sekitar satu bulan.",Kalimantan Selatan,https://drive.google.com/uc?export=view&id=107UNyu2YmF5OZHbTRjZPsfmoculciooq,https://id.wikipedia.org/wiki/Lampam
Lampet,"Lampet (dibaca: Lappet) adalah salah satu panganan tradisional masyarakat Batak yang terbuat dari tepung beras, kelapa parut, dan parutan gula aren. Campuran ini kemudian dibungkus menggunakan daun pisang dengan bentuk menyerupai limas. Setelah itu, lampet dikukus hingga matang. Pembuatan panganan ini mirip dengan pembuatan pohul pohul dan ombus ombus. Masyarakat batak memiliki hubungan yang kental dengan lampet, karena pada upacara adat batak tentunya harus ada makanan ini. Lampet dapat dikategorikan sebagai makanan ringan atau snack.",Lampet atau lapet adalah kue khas Batak yang sering disajikan dalam upacara adat seperti pesta pernikahan atau syukuran. Kue ini melambangkan kehangatan dan hubungan kekeluargaan.,"Campuran tepung beras, kelapa parut, dan gula merah dibungkus daun pisang berbentuk limas, lalu dikukus. Rasanya manis dan lembut.","Batak, Sumatera Utara",https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Lappet_for_Life.jpg/500px-Lappet_for_Life.jpg,
Lampu lampu,"Lampu-lampu adalah kue tradisional yang berasal dari Sulawesi Utara dan terbuat dari campuran tepung beras dan santan. Kue Lampu-lampu dikenali dari tampilannya yang disajikan dalam mangkok yang terbuat dari daun pandan dan kemudian dikukus. Mangkok berbentuk kotak ini disebut dengan nama takir. Kue ini sering disajikan sebagai menu berbuka puasa dan memiliki tekstur seperti agar-agar sehingga sebagian orang menyimpannya terlebih dahulu di dalam kulkas sebelum menyantapnya. Ada juga yang menyantap kue Lampu-lampu dengan kolak kacang hijau. Hal yang perlu diperhatikan dalam pembuatan kue Lampu-lampu adalah tidak disarankan membuka penutup kukusan sebelum kue ini matang karena akan membuat rasa kue berubah dan menjadi tidak enak lagi. Kue ini juga dikenal dengan nama lain seperti: kue Tetu di Sulawesi tengah, kue pelita di Bangka, kue Jongkong di Riau, kuih tepung pelite di Malaysia dan kue Popaco di Gorontalo.",Kue Lampu-Lampu merupakan jajanan tradisional khas masyarakat Kutai. Nama lampu-lampu berasal dari bentuknya yang menyerupai bola kecil berwarna cerah seperti cahaya lampu. Kue ini sering disajikan dalam acara adat dan perayaan.,"Tepung ketan dicampur santan dan pewarna alami, dibentuk bulat kecil lalu direbus hingga mengapung. Setelah matang, disajikan dengan sirup gula merah dan kelapa parut.",Sulawesi Utara,https://drive.google.com/uc?export=view&id=1LZp7iPgF9o-o0Dxlgc3gCvfTNvjQ_Z59,https://id.wikipedia.org/wiki/Lampu_lampu
Kue lapis,"Kue lapis adalah makanan khas Indonesia. Kue ini biasanya terdiri dari dua atau lebih warna yang berlapis-lapis, ini yang memberi nama kue ini. Kue ini dibuat dari tepung beras, tepung kanji, santan, gula pasir, garam dan pewarna. Kue ini dikukus setiap lapisannya sebelum kemudian lapisan di atasnya ditambahkan. Kue ini banyak ditemui di daerah-daerah di Indonesia khususnya di pedagang pasar tradisional maupun toko kue jajanan tradisional. Kue khas Indonesia ini termasuk ke dalam salah satu camilan legenda dan menjadi salah satu menu takjil. Pewarna yang digunakan untuk kue lapis bisa terdiri dari pewarna makanan buatan atau pewarna alami. Pewarna yang sering digunakan adalah pandan (hijau) dan sirup bunga mawar (merah). Kue ini memiliki tekstur lembut dan kenyal karena pengaruh dari adonan tepung kanji. Biasanya jajanan ini menjadi camilan di waktu santai.Terdapat dua jenis kue lapis dilihat dari cara pembuatannya, yaitu pembuatan lapisannya langsung pada saat proses memasak dalam satu loyang contohnya Kue pepe dan kue lapis legit. Kedua, lapisannya disatukan di luar loyang, misalnya kue lapis surabaya dan kue lapis moka vla.","Asal mula Kue lapis dapat ditelusuri hingga ke Tiongkok kuno. Pada zaman Dinasti Tang (618-907 M), terdapat sebuah makanan tradisional yang disebut mian gao yang merupakan nenek moyang dari Kue Lapis. Mian gao merupakan sejenis kue yang terbuat dari tepung beras ketan yang dibentuk dalam lapisan-lapisan yang berbeda warna. Mian gao awalnya disajikan sebagai hidangan khusus pada acara perayaan Tahun Baru Imlek. Kue Lapis kemudian menyebar ke berbagai negara di Asia Tenggara, termasuk Indonesia. Di Indonesia, Kue Lapis mengalami penyesuaian dengan bahan dan selera lokal, serta berkembang menjadi berbagai varian dengan rasa, warna, dan tekstur yang berbeda-beda.","Tepung beras, tepung sagu, santan, dan gula dicampur. Adonan dibagi menjadi beberapa warna, lalu dikukus bergantian. Teksturnya lembut dan legit.",Indonesia,https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Kue_Lapis.jpg/500px-Kue_Lapis.jpg,https://id.wikipedia.org/wiki/Kue_lapis
Lapis kojo,"Lapis Kojo adalah salah satu jenis kue basah tradisional yang populer di Palembang, Sumatra Selatan. Kue ini dikenal karena rasanya yang manis dan legit serta teksturnya yang lembut. Warna hijau khasnya berasal dari penggunaan daun pandan dan daun suji sebagai pewarna alami.","Lapis Kojo termasuk dalam kategori kue bingen, yaitu kue khas Palembang yang memerlukan proses pemanggangan khusus. Pembuatan kue ini memakan waktu cukup lama, sekitar 3,5 jam, karena adonan harus dipanggang secara bertahap untuk menghasilkan lapisan-lapisan yang khas pada setiap irisan. Sebelum adanya oven listrik, masyarakat Palembang secara tradisional memanggang Lapis Kojo menggunakan tungku arang. Tungku yang telah dipanaskan ditelungkupkan di atas loyang selama beberapa menit hingga lapisan adonan matang, lalu proses ini diulang hingga seluruh adonan habis. Saat ini, metode tradisional tersebut mulai jarang digunakan, digantikan oleh oven listrik yang memiliki sumber panas dari bagian atas dan bawah.","Campuran telur, santan, gula, dan daun pandan dikocok hingga rata lalu dipanggang perlahan. Kue ini memiliki aroma wangi dan tekstur padat lembut.","Palembang, Sumatera Selatan",https://drive.google.com/uc?export=view&id=1cgMAW90L_JnUWTEw2LX8Wcq5FRW_l-4p,https://id.wikipedia.org/wiki/Lapis_kojo
Lapis legit,"Lapis legit atau spekuk (bahasa Belanda: Spekkoek) adalah salah satu jenis kue basah tradisional dari Indonesia. Kue ini pertama kali dikembangkan pada masa kolonial Belanda di Indonesia dan mirip seperti kue lapis Eropa. Lapis legit dibuat dari berbagai macam rempah-rempah yang memang sangat disukai oleh orang-orang Eropa, di antaranya adalah kapulaga, kayu manis, cengkih, bunga pala, dan adas manis sehingga rasanya sangat khas kaya akan aroma rempah. Kue berbahan dasar kuning telur, tepung terigu, gula, dan mentega/margarin ini memiliki cita rasa yang manis dengan tekstur yang lembut namun kokoh. Adonan kue dipanggang dalam oven secara bertahap hingga membentuk lapisan-lapisan yang umumnya berjumlah 18 lapisan atau lebih. Karena banyaknya lapisan pada lapis legit, kue ini dikenal juga dengan sebutan kue seribu lapis. Di Indonesia kue ini sangat populer. Lapis legit biasanya disajikan pada acara-acara tertentu dan hari-hari raya, seperti Imlek, Lebaran, dan Natal. Kue ini juga disajikan sebagai hadiah pada perayaan-perayaan lokal, seperti hari pernikahan dan hari ulang tahun. Di Belanda, irisan kue ini biasanya disajikan sebagai kudapan atau hidangan pencuci mulut dalam jamuan rijsttafel.","Dalam bahasa Belanda, kata spekkoek secara harfiah berarti kue daging babi. Dinamai kue daging babi karena lapisan-lapisan yang terbentuk pada kue ini mirip seperti lemak babi. Nama kue ini dalam bahasa Indonesia adalah lapis legit di mana kata legit berarti manis.Lapis legit berkembang selama masa kolonial Belanda di Indonesia. Awal mulanya, kue bernama asli spekkoek ini dibawa oleh orang-orang Belanda ke Indonesia. Kue tersebut kemudian mendapat pengaruh dari penduduk lokal. Orang-orang Indonesia memodifikasinya dengan menggunakan bahan-bahan lokal termasuk menambahkan rempah-rempah yang disesuaikan dengan lidah mereka. Seiring perkembangannya, kue ini lebih dikenal dengan nama lapis legit karena kue ini memiliki banyak lapisan dengan rasa yang sangat manis. Di kalangan orang-orang Tionghoa, lapis legit memiliki sejarah yang sangat mengakar. Lapis legit menjadi sajian wajib pada perayaan Tahun Baru Imlek. Mereka percaya jika semakin banyak lapisan pada kue tersebut maka semakin berlipat-lipat rezeki yang akan didapatkan.","Adonan telur, mentega, gula, dan tepung dipanggang berlapis-lapis secara bergantian. Prosesnya memakan waktu lama, menghasilkan kue padat, lembut, dan harum rempah.",Jawa dan Sumatera (pengaruh Belanda),https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Spekkoek_naturel_en_pandan.jpg/500px-Spekkoek_naturel_en_pandan.jpg,https://id.wikipedia.org/wiki/Lapis_legit
Lapis nanas,Lapis Nanas adalah salah satu kue khas Palembang yang memiliki sejarah panjang dan erat kaitannya dengan pengaruh budaya Melayu dan kolonial Belanda. Kue ini dikenal dengan teksturnya yang berlapis-lapis serta cita rasa manis dengan sentuhan asam segar dari selai nanas.,"Lapis Nanas diperkirakan mulai dikenal di Palembang sejak masa kolonial Belanda. Pengaruh kue lapis legit yang diperkenalkan oleh Belanda turut berkontribusi dalam pengembangan kue ini. Namun, masyarakat Palembang memberikan sentuhan khas dengan menambahkan selai nanas sebagai lapisan utama, sehingga menghasilkan rasa yang lebih segar dan unik dibandingkan lapis legit pada umumnya. Dalam budaya Melayu Palembang, nanas sering digunakan dalam berbagai olahan makanan, termasuk kue tradisional. Nanas tidak hanya memberikan rasa manis dan asam yang seimbang, tetapi juga dianggap sebagai simbol kemakmuran. Oleh karena itu, Lapis Nanas sering disajikan dalam acara adat, perayaan keluarga, serta oleh-oleh khas Palembang.",Adonan dasar lapis legit diberi selai nanas di setiap lapisan sebelum dipanggang. Kue ini manis legit dengan aroma buah segar.,Palembang (pengaruh budaya Melayu dan kolonial Belanda),https://drive.google.com/uc?export=view&id=1WfNHYVgPFx_YU861j7Y-sSYm3NYCTVKh,https://id.wikipedia.org/wiki/Lapis_nanas
Leker,"Leker, atau sering disebut kue pisang Surabaya, adalah salah satu makanan ringan khas dari Kota Surabaya yang memiliki tekstur renyah di bagian luar dan lembut di bagian dalam. Meskipun memiliki nama yang sama dengan leker di beberapa daerah lain di Indonesia, leker khas Surabaya memiliki karakteristik tersendiri, terutama dalam teknik pembuatan dan bahan yang digunakan. Adonan kulit leker terbuat dari campuran telur, tepung terigu, susu, gula, dan air yang setelah dimasak menghasilkan tekstur yang tipis dan renyah. Adonan ini kemudian dituang ke wajan penggorengan kecil yang sudah dipanaskan, biasanya menggunakan bara arang agar menghasilkan cita rasa yang khas dan berbeda dengan memanggang kue pada umumnya. Saat kulit mulai matang dan mengering, penjual menambahkan isian berupa irisan pisang, taburan cokelat, gula pasir, dan susu kental manis. Setelah itu, kulit leker dilipat membentuk setengah lingkaran dan siap dihidangkan.",Leker merupakan jajanan legendaris yang berasal dari masa kolonial Belanda. Nama leker diambil dari kata Belanda lekker yang berarti enak. Kue ini menjadi jajanan populer di sekolah dan pasar karena murah dan gurih.,"Adonan tepung terigu, telur, gula, dan susu dicetak tipis di wajan datar, lalu diberi isian cokelat atau pisang. Setelah renyah, kue dilipat dua dan disajikan hangat.",Surabaya,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/33._L%C3%A8ker_3.jpg/500px-33._L%C3%A8ker_3.jpg,https://id.wikipedia.org/wiki/Leker
Lemet,"Lemet (lmt) adalah penganan yang dibuat dari singkong yang di parut, diberi gula jawa, dibungkus dengan daun pisang dan dikukus. Lemet sering disebut utri atau ketimus, merupakan jajanan tradisional Jawa khas Jawa Tengah, Jawa Timur dan Daerah Istimewa Yogyakarta. Penganan ini berasal dari Jawa Tengah, dan merupakan jajanan klasik yang telah terdokumentasi dalam Serat Centini yang diterbitkan pada abad ke-18M.",emet adalah kue tradisional Jawa yang sudah ada sejak masa kerajaan Mataram. Kue ini biasanya dibuat saat acara selamatan atau upacara adat sebagai simbol kesederhanaan dan rasa syukur.,"Singkong parut dicampur dengan kelapa parut dan gula merah, dibungkus daun pisang berbentuk lonjong, lalu dikukus hingga matang. Rasanya manis gurih dengan aroma daun pisang yang harum.",Jawa Tengah,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/%E6%A8%B9%E8%96%AF%E7%B2%BF.jpg/500px-%E6%A8%B9%E8%96%AF%E7%B2%BF.jpg,https://id.wikipedia.org/wiki/Lemet
Lempeng,"Lempeng adalah kue tradisional yang populer di Kalimantan Selatan yang terbuat dari adonan tepung terigu dengan isian pisang. Kue ini sering digelari sebagai pizanya orang Banjar karena bentuknya yang pipih bundar seperti piza. Kue Lempeng dikenal juga dengan nama kue Deblak atau kue Tebla dan juga ditemukan di daerah lainnya seperti di Karimun, Kepulauan Riau yang bentuknya mirip lempengan dan terbuat dari tepung dan kelapa. Meskipun termasuk ke dalam makanan jaman dulu, namun saat ini lempeng pisang sudah tersedia di beberapa kedai makanan modern dan juga waralaba. Resepnya pun sudah bervariasi dengan penambahan bahan dan taburan seperti nangka, tapai, teh hijau dan lainnya.","Lempeng adalah jajanan tradisional sederhana yang sudah dikenal masyarakat Kalimantan Selatan sejak masa lampau. Kue ini berasal dari makanan pokok alternatif berbahan dasar tepung terigu dengan isian pisang yang dimanfaatkan ketika hasil panen berlimpah. Lempeng sering dianggap simbol kesederhanaan hidup dan keteguhan masyarakat desa. Hingga kini, lempeng masih disajikan sebagai sarapan atau kudapan sore di banyak daerah.","Cara membuat lempeng pisang hampir mirip seperti panekuk pisang, yang membedakan adalah pisang yang digunakan sebelumnya dipotong dadu, diiris melintang atau pun dihancurkan kasar sehingga tekstur asli buah Pisang masih bisa dirasakan. Potongan pisang kemudian dicampur ke dalam adonan tepung terigu dan ditambahkan garam dan jika sudah tercampur rata maka selanjutnya adonan dimasak dalam wajan.",Kalimantan Selatan,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Lempeng_Pisang.jpg/500px-Lempeng_Pisang.jpg,https://id.wikipedia.org/wiki/Lempeng
